Produkt;Faropiktogram2;B;C;D;E;Faropiktogram;Lagring
QIAzol Lysis Reagent;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Quant-iT 1X dsDNA HS Assay (kit);;;;;;;Fridge near Bond
Qubit dsDNA BR Assay Kit;;;;;;;New fridge
Qubit dsDNA HS Assay Kit;;;;;;;New fridge
Qubit RNA BR Assay Kit;;;;;;;Lab space
Qubit RNA BR Assay Kit;;;;;;;New Freezer
Qubit RNA BR Assay Kit;;;;;;;New fridge
Restore Western Blot Stripping Buffer;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
RevertAid H Minus Reverse Transcriptase (200 U/uL) (kit);;;;;;;Freezer B
RNAlater Stabilization Solution;;;;;;;Lab space
RNASE AWAY;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
RNASE FREE H20;;;;;;;Lab space
RNase inhibitor;;;;;;;Freezer B
RNase ZAP;;;;;;;Lab space
RNeasy Plus Mini Kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
S.O.C. MEDIUM;;;;;;;Fridge near Bond
SDS 10%;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Sodium hydroxide;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
Suberic acid bis(N-hydroxysuccinimide ester);;;;;;;Fridge near Bond
Sudansvart B;;;;;;;Fridge Atlas
Sudansvart B;;;;;;;Fridge near Bond
SureSelect gDNA Extraktion kit;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
N,N,N',N'-Tetrametyletylendiamin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
THF;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Flammmable cabinet
Trans-Blot Turbo 0.2 micron PVDF Membrane (kit);;;;;;;Fridge near Bond
Trans-Blot Turbo 5x Transfer Buffer;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge Atlas
Trans-Blot Turbo RTA Transfer PVDF Kit;;;;;;;Lab space
Trietylamin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Flammmable cabinet
Triklorisocyanursyra;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/GHS-pictogram-rondflam.svg/512px-GHS-pictogram-rondflam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/GHS-pictogram-pollu.svg/512px-GHS-pictogram-pollu.svg.png"" height=""32"">";Flammmable cabinet
TRIS 1.0M Buffer Solution, pH 9.0;;;;;;;Fridge near Bond
Tris(2-carboxyethyl)phosphine hydrochloride;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Fridge Atlas
Tris-HCl pH 8,2 1M;;;;;;;Fridge near Bond
Triton X-100 (1%);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard Csaba
Trizol Reagent;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/GHS-pictogram-skull.svg/512px-GHS-pictogram-skull.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/GHS-pictogram-silhouette.svg/512px-GHS-pictogram-silhouette.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Cupboard Csaba
TSA Cyanine 3 & 5 TMR Fluorescein Evalutation Kit;;;;;;;Fridge near Bond
TSA Plus Cyanine 5 System;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge Atlas
Tween 20 (10%);;;;;;;Lab space
Tyramide Signal Amplification Plus Biotin Kit;;;;;;;Fridge Atlas
water nuclease-free;;;;;;;Lab space
VECTASTAIN ABC-HRP Kit, Peroxidase (Standard)  PK-4000;;;;;;;Fridge Atlas
Vector TrueVIEW Autofluorescence Quenching Kit;;;;;;;Fridge Atlas
Väteperoxid 30-procentig (Merck 107209);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Fridge Atlas
Yeast tRNA (massa);;;;;;;Freezer B
Ättiksyra;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/GHS-pictogram-flamme.svg/512px-GHS-pictogram-flamme.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";New Freezer
10X PBS BUFFER, PH 7.4;;;;;;;Cupboard 1 JM
10X PBS BUFFER, PH 7.4;;;;;;;Cupboard 2 JM
1X TE Buffer;;;;;;;Cupboard 3 JM
Agarose Electrophoresis reagent;;;;;;;Cupboard 1 JM
Aminocaproic acid;;;;;;;Acids JM
Ammoniumformiat;;;;;;;Cupboard 1 JM
ATX Ponceau S red staining solution;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Acids JM
Bacitracin;;;;;;;Cupboard 1 JM
Blotting Grade Blocker;;;;;;;Cupboard 1 JM
Brilliant Blue G;;;;;;;Cupboard 1 JM
Bromfenolblått;;;;;;;Cupboard 1 JM
Buffer solution pH = 10,00 (20 °C) (Sodium carbonate/Sodium hydrogen carbonate);;;;;;;Cupboard 1 JM
Buffer Solution pH = 4.00 (20 °C), red-coloured;;;;;;;Cupboard 1 JM
Buffer Solution pH = 7.00 (20 °C), yellow-coloured;;;;;;;Cupboard 1 JM
Clarity Western ECL Substrate Kit;;;;;;;
Cresyl Violet perchlorate;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 1 JM
D(+)-Glukos;;;;;;;Cupboard 2 JM
Dabco 33-LV (solution);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 1 JM
D-Glucose-13C6,1,2,3,4,5,6,6-d7;;;;;;;Cupboard 1 JM
Disodium hydrogen phosphate dodecahydrate;;;;;;;Cupboard 1 JM
DMSO;;;;;;;Cupboard 3 JM
DPBS (10X), no calcium, no magnesium;;;;;;;Cupboard 1 JM
DTT, 100mM;;;;;;;Cupboard 1 JM
Gelatin;;;;;;;Cupboard 1 JM
Glycerol;;;;;;;Cupboard 1 JM
Glycin;;;;;;;Cupboard 1 JM
HEPES;;;;;;;Acids JM
HistoChoice clearing agent;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 3 JM
Kaliumdivätefosfat;;;;;;;Cupboard 1 JM
Kaliumklorid;;;;;;;Cupboard 2 JM
Kaliumkloridlösning 2M;;;;;;;Cupboard 1 JM
L-Tryptofan;;;;;;;Cupboard 1 JM
Magnesiumklorid;;;;;;;Cupboard 1 JM
Magnesiumsulfat-heptahydrat;;;;;;;Cupboard 1 JM
Mayers HTX (HistoLab Products AB);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Acids JM
MES monohydrate;;;;;;;Acids JM
Natriumdivätefosfat monohydrat;;;;;;;Cupboard 2 JM
Natriumhydrogencarbonat;;;;;;;Cupboard 2 JM
Natriumkarbonat;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Acids JM
Natriumkarbonat;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 2 JM
Natriumkloridlösning 3.0M;;;;;;;Cupboard 1 JM
di-Natriumvätefosfat;;;;;;;Cupboard 1 JM
di-Natriumvätefosfat;;;;;;;Cupboard 2 JM
di-Natriumvätefosfat dihydrat;;;;;;;Cupboard 1 JM
Nonfat-Dried Milk bovine;;;;;;;Cupboard 1 JM
OptiPrep Density Gradient Medium;;;;;;;Cupboard 1 JM
Oxalic acid standard solution;;;;;;;Acids JM
PBS for biotechnology (tabletter);;;;;;;Cupboard 2 JM
Phosphate Buffered Saline (PBS) tablets (pH 7,4);;;;;;;Cupboard 2 JM
Pikrinsyralösning (1.3% i vatten);;;;;;;Acids JM
polyvinyl alcohol;;;;;;;Cupboard 3 JM
Ponceau S;;;;;;;Acids JM
RNAlater (Life Technologies);;;;;;;Cupboard 2 JM
Sackaros;;;;;;;Cupboard 2 JM
Saltsyra 36,5-38%;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Acids JM
Saponin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 2 JM
Sigma 7-9 (Trizma base);;;;;;;Cupboard 1 JM
Sodium chloride;;;;;;;Cupboard 1 JM
Sodium deoxycholate;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Acids JM
Sodium phosphate monobasic dihydrate;;;;;;;Cupboard 1 JM
Sodium phosphate monobasic dihydrate;;;;;;;Cupboard 2 JM
SSC (Sodium Chloride-Sodium Citrate ) [20X];;;;;;;Cupboard 1 JM
Svavelsyra >95%;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Acids JM
Svavelsyra 1 mol/l (2 N);"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/GHS-pictogram-acid.svg/512px-GHS-pictogram-acid.svg.png"" height=""32"">";Acids JM
TBS;;;;;;;Cupboard 3 JM
Thyramine hydrochloride;;;;;;;Cupboard 3 JM
Tioflavin T;;;;;;;Cupboard 3 JM
Tricin;;;;;;;Cupboard 3 JM
Trietanolamin;;;;;;;Cupboard 3 JM
Tween 20;;;;;;;Cupboard 3 JM
Tyramin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 3 JM
Vanillin;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/GHS-pictogram-exclam.svg/512px-GHS-pictogram-exclam.svg.png"" height=""32"">";Cupboard 3 JM
Vatten;;;;;;;Cupboard 1 JM
